horizon_s,bucket,n,moved,moved_share,mean_drift_cents,hits,hit_rate,wilson_lb95
60,0.0-0.2,422620,31114,0.0736,0.0,15039,0.4834,0.4778
60,0.2-0.4,1792,62,0.0346,0.014,17,0.2742,0.1788
60,0.4-0.6,12530,798,0.0637,-0.002,,,
60,0.6-0.8,1400,72,0.0514,0.006,42,0.5833,0.4681
60,0.8-1.0,0,0,,0.0,,,
300,0.0-0.2,434762,60451,0.139,0.001,29223,0.4834,0.4794
300,0.2-0.4,2654,291,0.1096,0.03,115,0.3952,0.3407
300,0.4-0.6,12624,1404,0.1112,-0.008,,,
300,0.6-0.8,1590,231,0.1453,0.044,145,0.6277,0.5638
300,0.8-1.0,6,1,0.1667,0.008,1,1.0,0.2065
1800,0.0-0.2,433246,105618,0.2438,0.004,51564,0.4882,0.4852
1800,0.2-0.4,2759,528,0.1914,0.045,230,0.4356,0.3939
1800,0.4-0.6,12604,2239,0.1776,0.031,,,
1800,0.6-0.8,1615,580,0.3591,0.01,264,0.4552,0.4151
1800,0.8-1.0,7,2,0.2857,0.143,2,1.0,0.3424
